Hashsize	Subject	Cross Validation Fold	Model	Training Accuracy	Training F-Score	Test Accuracy	Test F-Score	Time to Evaluate Model
1000	1	1	1	92.1153846154	0.8193832599	92.1153846154	0.8193832599	14.8984370232
1000	1	1	2	80.7692307692	0.375	80.7692307692	0.375	31.5968930721
1000	1	1	3	76.1538461538	-1	76.1538461538	-1	20.4675209522
1000	1	2	1	91.9230769231	0.8205128205	91.9230769231	0.8205128205	15.207461834
1000	1	2	2	79.8076923077	0.3930635838	79.8076923077	0.3930635838	33.0730659962
1000	1	2	3	77.1153846154	-1	77.1153846154	-1	19.309773922
1000	1	3	1	93.6538461538	0.8493150685	93.6538461538	0.8493150685	13.8623719215
1000	1	3	2	78.8461538462	0.4086021505	78.8461538462	0.4086021505	32.4998519421
1000	1	3	3	76.9230769231	-1	76.9230769231	-1	19.5360050201
1000	1	4	1	93.6538461538	0.8421052632	93.6538461538	0.8421052632	14.5424041748
1000	1	4	2	80.1923076923	0.4046242775	80.1923076923	0.4046242775	32.9868838787
1000	1	4	3	77.3076923077	-1	77.3076923077	-1	18.7692039013
1000	1	5	1	92.3076923077	0.8214285714	92.3076923077	0.8214285714	15.7023291588
1000	1	5	2	77.5	-1	77.5	-1	32.4850640297
1000	1	5	3	77.5	-1	77.5	-1	18.8033270836
1000	1	6	1	92.6923076923	0.8240740741	92.6923076923	0.8240740741	15.2198359966
1000	1	6	2	80.3846153846	0.3780487805	80.3846153846	0.3780487805	33.0519330502
1000	1	6	3	76.7307692308	-1	76.7307692308	-1	19.2856421471
1000	1	7	1	92.6923076923	0.8333333333	92.6923076923	0.8333333333	15.1567840576
1000	1	7	2	79.0384615385	0.4232804233	79.0384615385	0.4232804233	32.315459013
1000	1	7	3	77.1153846154	-1	77.1153846154	-1	18.7269380093
1000	1	8	1	91.9230769231	0.8090909091	91.9230769231	0.8090909091	14.8303968906
1000	1	8	2	76.9230769231	0.4392523364	76.9230769231	0.4392523364	33.1154382229
1000	1	8	3	75.9615384615	-1	75.9615384615	-1	18.5320210457
1000	1	9	1	91.7307692308	0.7981220657	91.7307692308	0.7981220657	15.1201329231
1000	1	9	2	79.0384615385	0.4784688995	79.0384615385	0.4784688995	32.0041790009
1000	1	9	3	77.8846153846	-1	77.8846153846	-1	18.8775360584
1000	1	10	1	92.3076923077	0.8165137615	92.3076923077	0.8165137615	14.2460460663
1000	1	10	2	80.9615384615	0.4705882353	80.9615384615	0.4705882353	31.1185851097
1000	1	10	3	76.7307692308	-1	76.7307692308	-1	18.7347230911
1000	2	1	1	94.6153846154	0.7741935484	94.6153846154	0.7741935484	15.0663661957
1000	2	1	2	89.0384615385	0.2597402597	89.0384615385	0.2597402597	33.240254879
1000	2	1	3	87.3076923077	-1	87.3076923077	-1	18.8300018311
1000	2	2	1	94.2307692308	0.7692307692	94.2307692308	0.7692307692	14.6985991001
1000	2	2	2	86.7307692308	0.2247191011	86.7307692308	0.2247191011	31.4752008915
1000	2	2	3	85	-1	85	-1	18.1655900478
1000	2	3	1	94.2307692308	0.7540983607	94.2307692308	0.7540983607	14.9382851124
1000	2	3	2	86.1538461538	0.0526315789	86.1538461538	0.0526315789	32.9594478607
1000	2	3	3	85.9615384615	-1	85.9615384615	-1	19.0831298828
1000	2	4	1	94.8076923077	0.7906976744	94.8076923077	0.7906976744	14.9196748734
1000	2	4	2	85.9615384615	-1	85.9615384615	-1	33.3734807968
1000	2	4	3	85.9615384615	-1	85.9615384615	-1	18.2584769726
1000	2	5	1	92.6923076923	0.7323943662	92.6923076923	0.7323943662	14.871958971
1000	2	5	2	85.7692307692	0.3148148148	85.7692307692	0.3148148148	33.4465811253
1000	2	5	3	84.6153846154	-1	84.6153846154	-1	18.9504001141
1000	2	6	1	92.3076923077	0.7435897436	92.3076923077	0.7435897436	15.3771400452
1000	2	6	2	84.2307692308	0.3387096774	84.2307692308	0.3387096774	32.3381969929
1000	2	6	3	83.8461538462	-1	83.8461538462	-1	21.2675898075
1000	2	7	1	94.4230769231	0.7786259542	94.4230769231	0.7786259542	16.7148489952
1000	2	7	2	85.9615384615	0.0759493671	85.9615384615	0.0759493671	34.691824913
1000	2	7	3	85.7692307692	-1	85.7692307692	-1	19.7963809967
1000	2	8	1	94.6153846154	0.7878787879	94.6153846154	0.7878787879	14.295083046
1000	2	8	2	85	-1	85	-1	34.2755749226
1000	2	8	3	85	-1	85	-1	21.0165338516
1000	2	9	1	94.0384615385	0.7438016529	94.0384615385	0.7438016529	16.7486858368
1000	2	9	2	87.5	-1	87.5	-1	36.6007890701
1000	2	9	3	87.5	-1	87.5	-1	21.6335220337
1000	2	10	1	93.8461538462	0.75	93.8461538462	0.75	16.0104579926
1000	2	10	2	87.6923076923	0.3043478261	87.6923076923	0.3043478261	35.8455889225
1000	2	10	3	86.1538461538	-1	86.1538461538	-1	21.2793750763
1000	3	1	1	97.1153846154	0.8739495798	97.1153846154	0.8739495798	16.4972419739
