Id,Sales
1,4624
857,4756
1713,4958
2569,5265
3425,0
4281,4105
5137,3856
5993,3703
6849,3806
7705,3836
8561,4030
9417,0
10273,4401
11129,3813
11985,4483
12841,5344
13697,5296
14553,5841
15409,0
16265,3974
17121,3897
17977,3502
18833,3259
19689,3617
20545,3526
21401,0
22257,3917
23113,4726
23969,4810
24825,4994
25681,5222
26537,5726
27393,0
28249,4147
29105,3976
29961,3765
30817,3789
31673,3608
32529,3417
33385,0
34241,4179
35097,4642
35953,4915
36809,5208
37665,5146
38521,5266
39377,0
40233,1630
2,7835
858,8492
1714,9144
2570,10019
3426,0
4282,3987
5138,5852
5994,5722
6850,6031
7706,6146
8562,5753
9418,0
10274,4010
11130,6492
11986,4991
12842,8663
13698,8635
14554,11554
15410,0
16266,4044
17122,5874
17978,5385
18834,5083
19690,5237
20546,4768
21402,0
22258,3776
23114,7545
23970,7615
24826,8351
25682,8986
26538,9914
27394,0
28250,3987
29106,5776
29962,5702
30818,5807
31674,5986
32530,5907
33386,0
34242,4116
35098,7722
35954,7984
36810,8307
37666,8740
38522,9295
39378,0
40234,3376
3,9775
859,9828
1715,11566
2571,12419
3427,0
4283,6368
5139,8490
5995,8098
6851,8483
7707,8866
8563,9217
9419,0
10275,6134
11131,9720
11987,10319
12843,10582
13699,12522
14555,12890
15411,0
16267,6506
17123,9408
17979,8798
18835,8220
19691,9226
20547,8165
21403,0
22259,6494
23115,10965
23971,10548
24827,10647
25683,11718
26539,13036
27395,0
28251,6697
29107,9499
29963,8867
30819,8778
31675,9646
32531,8250
33387,0
34243,6565
35099,11258
35955,11220
36811,11441
37667,12796
38523,13752
39379,0
40235,5757
4,7524
860,7477
1716,7950
2572,8854
3428,0
4284,3232
5140,5312
5996,5316
6852,5042
7708,5134
8564,5597
9420,0
10276,3306
11132,6143
11988,7536
12844,7614
13700,8208
14556,9250
15412,0
16268,3489
17124,4306
17980,4893
18836,4668
19692,4927
20548,5230
21404,0
22260,2944
23116,5740
23972,6368
24828,6675
25684,7007
26540,8055
27396,0
28252,2993
29108,4949
29964,5151
30820,4957
31676,5141
32532,5055
33388,0
34244,3149
35100,5439
35956,6187
36812,6610
37668,6969
38524,7296
39380,0
40236,2424
5,6941
861,7355
1717,7995
2573,9899
3429,0
4285,5562
5141,6024
5997,5644
6853,5902
7709,6067
8565,6232
9421,0
10277,5247
11133,7096
11989,6515
12845,7865
13701,8327
14557,9379
15413,0
16269,5691
17125,6171
17981,5637
18837,5702
19693,5425
20549,5766
21405,0
22261,5507
23117,7404
23973,7074
24829,7435
25685,7992
26541,9607
27397,0
28253,5524
29109,6069
29965,5699
30821,5758
31677,5944
32533,6565
33389,0
34245,5739
35101,7133
35957,7067
36813,7144
37669,7474
38525,9455
39381,0
40237,3570
6,6039
862,6165
1718,6650
2574,7244
3430,0
4286,4476
5142,5242
5998,4951
6854,4931
7710,5217
8566,5594
9422,0
10278,4932
11134,5473
11990,5759
12846,5885
13702,6275
14558,6791
15414,0
16270,3908
17126,5020
17982,4384
18838,4460
19694,5045
20550,4532
21406,0
22262,4453
23118,5108
23974,5568
24830,5723
25686,5929
26542,6810
27398,0
28254,4435
29110,5528
29966,5010
30822,5158
31678,5385
32534,4495
33390,0
34246,4564
35102,4938
35958,5529
36814,5710
37670,5682
38526,6405
39382,0
40238,2140
7,7978
863,8904
1719,8980
2575,9816
3431,0
4287,5787
5143,6797
5999,6731
6855,6860
7711,6763
8567,7055
9423,0
10279,5970
11135,7565
11991,8255
12847,9064
13703,9396
14559,11088
15415,0
16271,6066
17127,6390
17983,5932
18839,6246
19695,6703
20551,6826
21407,0
22263,5339
23119,8310
23975,8208
24831,8576
25687,8608
26543,9352
27399,0
28255,5806
29111,6942
29967,6744
30823,7086
31679,7027
32535,7037
33391,0
34247,5560
35103,7931
35959,8436
36815,8878
37671,9002
38527,9212
39383,0
40239,4145
8,8527
864,9149
1720,9418
2576,10999
3432,0
4288,5737
5144,6151
6000,6024
6856,5999
7712,5849
8568,6021
9424,0
10280,5547
11136,7883
11992,7908
12848,8646
13704,8875
14560,12471
15416,0
16272,5887
17128,6445
17984,5780
18840,5273
19696,6060
20552,5996
21408,0
22264,5590
23120,8244
23976,8486
24832,8812
25688,9030
26544,10179
27400,0
28256,5871
29112,6395
29968,6108
30824,6126
31680,6187
32536,5757
33392,0
34248,5453
35104,8422
35960,8651
36816,8885
37672,8760
38528,10019
39384,0
40240,3384
9,5924
865,7176
1721,6689
2577,7216
3433,0
4289,4159
5145,3896
6001,3342
6857,3700
7713,3728
8569,1921
9425,0
10281,4184
11137,4227
11993,3630
12849,5952
13705,6245
14561,7682
15417,0
16273,4352
17129,3714
17985,3387
18841,3744
19697,4302
20553,2511
21409,0
22265,4194
23121,5881
23977,3678
24833,5588
25689,6203
26545,6779
27401,0
28257,6
29113,3953
29969,3417
30825,3817
31681,3963
32537,2331
33393,0
34249,7
35105,5522
35961,3817
36817,5860
37673,5437
38529,6750
39385,0
40241,2778
10,6029
866,6069
1722,6634
2578,7694
3434,0
4290,2967
5146,4974
6002,4896
6858,4986
7714,5084
8570,5323
9426,0
10282,3428
11138,5613
11994,5198
12850,6426
13706,6495
14562,9384
15418,0
16274,3373
17130,5189
17986,4903
18842,4886
19698,4818
20554,4740
21410,0
22266,3035
23122,6213
23978,6073
24834,6154
25690,6639
26546,7750
27402,0
28258,3053
29114,5034
29970,4916
30826,4931
31682,4866
32538,4872
33394,0
34250,3386
35106,5786
35962,5916
36818,6099
37674,6554
38530,7105
39386,0
40242,1859
11,7413
867,7355
1723,7681
2579,8841
3435,0
4291,5524
5147,5933
6003,5317
6859,5350
7715,5438
8571,5501
9427,0
10283,5525
11139,6895
11995,7461
12851,7300
13707,7521
14563,10787
15419,0
16275,6064
17131,5930
17987,5128
18843,4703
19699,5265
20555,5395
21411,0
22267,5483
23123,7307
23979,7172
24835,7507
25691,7774
26547,8964
27403,0
28259,5619
29115,5521
29971,5574
30827,5372
31683,5309
32539,5200
33395,0
34251,5696
35107,7189
35963,7318
36819,7641
37675,7881
38531,8935
39387,0
40243,3823
12,7861
868,8901
1724,9541
2580,10873
3436,0
4292,5305
5148,6721
6004,6804
6860,6974
7716,7287
8572,5623
9428,0
10284,4836
11140,7248
11996,6675
12852,8939
13708,9611
14564,10455
15420,0
16276,5189
17132,6966
17988,6687
18844,6433
19700,6494
20556,5794
21412,0
22268,5154
23124,8204
23980,6949
24836,8913
25692,9250
26548,10410
27404,0
28260,5252
29116,6768
29972,6749
30828,6775
31684,7115
32540,6098
33396,0
34252,5170
35108,8341
35964,7542
36820,9282
37676,9317
38532,10433
39388,0
40244,3331
13,7348
869,7862
1725,8019
2581,9508
3437,0
4293,3625
5149,5841
6005,5408
6861,5803
7717,5847
8573,5962
9429,0
10285,4090
11141,6747
11997,6622
12853,8198
13709,8061
14565,9798
15421,0
16277,4439
17133,6423
17989,5749
18845,5318
19701,4863
20557,4534
21413,0
22269,3944
23125,7676
23981,7296
24837,7874
25693,8047
26549,9624
27405,0
28261,3957
29117,5468
29973,5376
30829,5657
31685,5610
32541,5613
33397,0
34253,4005
35109,7018
35965,7537
36821,7626
37677,8088
38533,9172
39389,0
40245,2229
14,8523
870,8888
1726,9447
2582,9812
3438,0
4294,5299
5150,7102
6006,8205
6862,8079
7718,8397
8574,5297
9430,0
10286,5232
11142,5449
11998,6568
12854,9497
13710,9710
14566,9330
15422,0
16278,5590
17134,7062
17990,8390
18846,5416
19702,6392
20558,6993
21414,0
22270,5667
23126,7463
23982,6844
24838,8140
25694,8576
