Avg Accuracy,Avg F1 Score,Avg Log Loss,No. Neurons,Learning Rate,No. Epochs
0.9060326353,0.4418527207,3.2455338267,65,0.11,100000
0.9054388577,0.4415924302,3.2660426936,90,0.08,110000
0.9052773803,0.4509193041,3.2716223217,65,0.1,90000
0.9051151604,0.4452060853,3.2772228904,80,0.08,110000
0.9050614268,0.4328170222,3.2790772088,90,0.06,100000
0.9050614122,0.4690999502,3.2790836439,75,0.11,100000
0.9049803387,0.4470701139,3.2818799637,90,0.09,110000
0.9049536393,0.4272978983,3.2828008126,70,0.1,80000
0.9049536029,0.4000363832,3.2827990278,60,0.12,70000
0.9047375693,0.4255237893,3.2902629788,80,0.06,100000
0.9046298692,0.4080261904,3.2939822069,75,0.05,80000
0.9045759754,0.4277175605,3.2958465431,80,0.09,100000
0.9045759026,0.4085720646,3.2958449158,85,0.1,110000
0.9045756697,0.4338176005,3.295856131,110,0.09,100000
0.9045485772,0.426157932,3.2967911818,90,0.05,100000
0.9044679914,0.4270600126,3.2995744972,60,0.05,80000
0.9044407242,0.4189538578,3.300516314,65,0.05,110000
0.9043870125,0.4157346938,3.3023702667,85,0.11,110000
0.9043869324,0.4266561078,3.3023740454,90,0.05,110000
0.9043869251,0.4300639586,3.3023751173,90,0.11,100000
0.9043597307,0.4744022731,3.3033216257,95,0.11,100000
0.9043329149,0.4611284279,3.3042441233,105,0.06,100000
0.9043327111,0.4060562482,3.3042442162,75,0.11,110000
0.9042789483,0.4103160564,3.3061015896,60,0.06,80000
0.9042249964,0.4364089406,3.3079679805,65,0.06,110000
0.9041982679,0.4634309161,3.3088971908,65,0.1,110000
0.9041440902,0.4483449413,3.3107645157,110,0.05,100000
0.9041172453,0.4038977456,3.3116861857,60,0.1,100000
0.9040901237,0.4521853169,3.3126291224,75,0.08,90000
0.9040900655,0.4338036817,3.3126285663,70,0.05,110000
0.9040900291,0.4351307447,3.3126311174,105,0.08,100000
0.9040631259,0.4305959983,3.313558294,85,0.08,80000
