Avg Accuracy,Avg F1 Score,Avg Log Loss,No. Neurons,Learning Rate,No. Epochs
0.9134620874,0.7589620307,2.9889303251,80,0.1,90000
0.9134137436,0.7537759652,2.9905972093,95,0.1,110000
0.913268195,0.7531220477,2.9956244936,85,0.11,110000
0.913049978,0.7524044146,3.0031610568,80,0.05,110000
0.9130499368,0.7531812801,3.0031629044,65,0.07,100000
0.913001352,0.7504545072,3.004839296,85,0.07,110000
0.9128559798,0.7501957925,3.0098607604,80,0.08,110000
0.9126619992,0.7482984169,3.0165598937,115,0.09,110000
0.9126378803,0.7439769191,3.0173904133,60,0.08,110000
0.912637798,0.752306383,3.0173980637,115,0.05,100000
0.9126135085,0.7471306733,3.0182340443,75,0.09,110000
0.9125650295,0.7465529224,3.0199085849,95,0.06,110000
0.912565006,0.7556922662,3.0199144183,115,0.08,100000
0.9125164683,0.7466996624,3.021585502,65,0.09,100000
0.912395409,0.7456063158,3.0257673428,90,0.07,110000
0.9123710314,0.7455998761,3.0266084046,105,0.06,80000
0.9122741146,0.7577564836,3.0299630038,85,0.08,100000
0.9122498369,0.7492865412,3.0307968538,60,0.06,100000
0.9122497898,0.7556217757,3.0308023169,90,0.11,100000
0.9122255063,0.7455437416,3.031634915,65,0.06,110000
0.9122013461,0.7435238782,3.0324684459,85,0.05,110000
0.9122013109,0.7459452274,3.0324709243,70,0.06,80000
0.9122012932,0.7475758499,3.0324725802,70,0.06,90000
0.9122012697,0.7476720906,3.0324735666,110,0.06,110000
0.9121768568,0.7519667276,3.0333197827,90,0.08,110000
0.912128466,0.7431225534,3.0349855965,100,0.08,110000
0.9121042883,0.7536233276,3.0358272205,60,0.07,110000
0.9121042824,0.7457109136,3.0358221305,75,0.05,100000
0.9120557094,0.7443352158,3.0374991818,85,0.06,110000
0.9120072539,0.7449211703,3.039174054,110,0.1,110000
0.9119830879,0.7482898663,3.0400104822,90,0.06,110000
0.9119829762,0.7408028015,3.0400098033,70,0.05,100000
0.9119589043,0.7442655911,3.0408432161,90,0.05,100000
0.9119346618,0.7505913153,3.0416842031,100,0.09,110000
0.9119345737,0.7489417567,3.0416862217,85,0.05,100000
0.9119103136,0.7529293899,3.0425266936,65,0.1,90000
0.9119101549,0.7411518973,3.0425252727,80,0.09,100000
0.9118618699,0.7361023262,3.0441902242,100,0.1,90000
0.91186177,0.7416014992,3.0441970687,100,0.07,110000
0.9118376686,0.7556730183,3.0450367113,90,0.09,110000
0.9118135438,0.7447592145,3.0458650885,75,0.09,100000
0.9117890662,0.751700578,3.0467135576,75,0.08,80000
0.9117890486,0.7514804464,3.0467146314,70,0.1,110000
0.9117648297,0.745060336,3.0475471296,95,0.07,110000
0.9117406225,0.7399971776,3.0483802681,85,0.06,100000
0.911716286,0.7494880896,3.049226055,60,0.06,80000
