Avg Accuracy,Avg F1 Score,Avg Log Loss,No. Neurons,Learning Rate,No. Epochs
0.9144075361,0.7584159441,2.9562732033,80,0.07,100000
0.9138258472,0.7611671877,2.9763670295,70,0.09,110000
0.9138014814,0.7540597311,2.9772041379,75,0.05,110000
0.913680281,0.7572161523,2.9813931974,70,0.12,110000
0.9136558975,0.7554800604,2.9822335894,60,0.05,100000
0.9136316668,0.7542939774,2.9830697892,85,0.05,110000
0.9136316022,0.7608945336,2.9830764822,75,0.1,110000
0.9135831114,0.7580505314,2.984749218,65,0.08,100000
0.9135589572,0.759255198,2.9855842125,60,0.11,90000
0.9135105076,0.7536361322,2.9872545581,65,0.11,80000
0.9133407695,0.7581975763,2.9931200133,90,0.06,100000
0.9132195515,0.761165769,2.9973092358,90,0.11,80000
0.9132195397,0.7515440866,2.9973038449,85,0.11,110000
0.9132194574,0.7553614235,2.9973087035,65,0.05,90000
0.9131468595,0.756149907,2.9998167293,70,0.09,90000
0.9131224231,0.7571910456,3.0006616057,95,0.08,80000
0.9130740088,0.759097222,3.00233527,115,0.09,90000
0.9130255592,0.763571704,3.0040110237,85,0.08,90000
0.9130014049,0.7574850688,3.0048417343,60,0.06,90000
0.9129769626,0.7588573238,3.0056870649,115,0.09,100000
0.9129769039,0.7541022242,3.0056859743,75,0.05,100000
0.9129528613,0.7625479031,3.006521745,60,0.11,110000
0.9129527614,0.7524419485,3.0065188375,90,0.05,100000
0.9128802927,0.7599581946,3.0090266814,65,0.06,110000
0.9128799929,0.7519626497,3.0090322477,75,0.06,100000
0.9128556388,0.7503502269,3.0098723419,60,0.07,110000
0.9128314199,0.7551688562,3.0107115093,65,0.07,80000
0.9127587632,0.7567783225,3.0132219728,80,0.05,100000
0.9127103077,0.7492142625,3.014891416,75,0.06,60000
0.9127103019,0.7548941896,3.0148952642,100,0.06,70000
0.9127102607,0.7540178784,3.0148959291,70,0.06,110000
0.9126860477,0.7487978378,3.0157295421,65,0.09,80000
0.912661864,0.7573175093,3.0165695844,115,0.06,100000
0.9126618405,0.7658358695,3.0165759414,65,0.09,110000
0.9126375805,0.751992743,3.0174054598,85,0.05,100000
0.9126375805,0.7562352968,3.0174082129,65,0.1,90000
0.9126375158,0.7525897487,3.0174078677,70,0.08,110000
0.912637504,0.7567772956,3.0174108327,75,0.08,90000
0.9126374805,0.7575519787,3.0174119552,100,0.08,90000
0.9126134438,0.7493917101,3.0182377322,95,0.1,100000
0.912564765,0.7532499725,3.0199213083,115,0.05,100000
0.9125407225,0.746336219,3.0207478892,70,0.05,110000
0.912540552,0.762598259,3.0207631219,85,0.07,100000
0.9125405226,0.7531898897,3.0207585342,80,0.1,80000
0.9125162978,0.7548979825,3.0215965666,110,0.11,110000
0.9124921965,0.7601501306,3.0224317305,90,0.09,100000
0.9124921377,0.7524025505,3.0224290888,75,0.06,110000
0.9124919437,0.7563600516,3.0224383867,80,0.05,110000
0.9124679364,0.7554664214,3.0232678219,85,0.07,90000
0.9124678835,0.7510060215,3.0232660616,65,0.06,100000
0.9124678776,0.7512975285,3.0232661872,115,0.07,70000
0.9124678247,0.7560172345,3.0232717757,90,0.08,110000
0.9124678071,0.753465142,3.0232700586,65,0.09,90000
0.9124677836,0.7534057885,3.0232708127,75,0.05,90000
0.9124677483,0.7517049368,3.0232712938,85,0.06,100000
0.9124435646,0.7482468622,3.0241045121,100,0.1,80000
0.9124434765,0.7467686112,3.0241068984,80,0.07,110000
0.9124193693,0.7551331436,3.0249442434,75,0.05,70000
0.9124193693,0.7557688381,3.024944573,60,0.08,110000
0.9124193575,0.7578465574,3.0249460257,105,0.1,110000
0.9123952326,0.7588297793,3.0257798507,95,0.05,100000
0.9123951033,0.7578928181,3.0257844729,75,0.07,70000
0.9123950034,0.7474627929,3.025781604,60,0.12,100000
0.9123709079,0.752274178,3.0266166237,70,0.09,60000
0.9123708726,0.7554839791,3.0266197222,90,0.06,60000
0.9123708315,0.7497324078,3.0266176152,95,0.06,90000
0.9123708197,0.7466765089,3.0266165087,75,0.1,90000
0.9123707668,0.7446795147,3.0266173278,100,0.1,100000
0.9123468418,0.7555035521,3.0274491929,80,0.08,110000
0.9123465891,0.7573834454,3.0274600955,100,0.12,80000
0.9123465185,0.7464664967,3.0274555907,70,0.08,90000
0.9123465185,0.7629707516,3.0274658471,100,0.11,90000
0.9123223173,0.7525352838,3.0282949632,85,0.05,80000
0.9122738853,0.7522429441,3.0299679371,65,0.1,60000
0.9122738265,0.7591222647,3.0299739615,60,0.09,100000
0.9122495723,0.757150094,3.0308104303,75,0.05,80000
0.9122495312,0.7508539869,3.0308082063,95,0.09,110000
0.9122253005,0.7502004779,3.0316448327,115,0.08,110000
0.9122252653,0.7544406414,3.0316483968,100,0.07,70000
0.9122011228,0.7532832667,3.0324813569,90,0.09,70000
0.9122011169,0.7488043761,3.0324798152,65,0.12,110000
0.9122010816,0.7545264363,3.0324838442,60,0.05,110000
0.9121526908,0.7540187961,3.0341559207,75,0.11,110000
0.9121526791,0.7504262468,3.0341533406,80,0.07,70000
0.9121526262,0.762297455,3.0341619349,115,0.08,90000
0.9121525674,0.7534124909,3.0341586138,110,0.06,90000
0.9121524204,0.7595431415,3.0341682268,60,0.1,110000
0.9120800047,0.7498601709,3.0366630561,60,0.06,80000
0.9120799694,0.7545765303,3.0366672407,95,0.05,110000
0.9120799518,0.7602134308,3.0366709714,100,0.05,110000
0.9120798048,0.7431699337,3.0366661012,80,0.06,110000
0.9120797696,0.7502848205,3.0366711969,60,0.1,90000
0.9120797461,0.7613791627,3.0366792024,85,0.09,90000
0.9120558446,0.7472493279,3.0374962572,65,0.05,110000
0.9120557211,0.7522585417,3.0375032742,60,0.08,80000
0.9120556506,0.7523745016,3.0375056913,75,0.06,70000
0.9120555918,0.7609800789,3.0375132278,85,0.08,80000
0.9120555859,0.7446106001,3.0375037755,85,0.06,80000
0.9120555565,0.7503694201,3.0375080672,110,0.12,80000
0.9120314317,0.7524020288,3.0383425707,65,0.12,80000
0.9120313964,0.7494328671,3.0383417528,80,0.05,80000
0.9120313788,0.7530209992,3.038344805,70,0.06,60000
0.9120313435,0.7539923142,3.0383466625,105,0.06,110000
0.9120071422,0.7483405202,3.0391787257,100,0.11,110000
0.9120071305,0.7538398078,3.039182583,85,0.08,110000
0.9120071011,0.7515360383,3.0391822217,95,0.05,90000
0.9120070658,0.7519207477,3.0391838083,105,0.05,90000
0.9120069894,0.756891883,3.0391894719,65,0.05,80000
0.9119829762,0.7521154941,3.0400156585,105,0.05,80000
0.9119829703,0.7429209634,3.0400113056,75,0.12,70000
0.9119829233,0.7544815318,3.0400190757,100,0.07,90000
