Autoencoder_1,Autoencoder_2,overall-rank, score1, score2, score3, score4, score5, score6,Weight_kg,age,Height_cm,athlete_ID,nameURL,First_Name,Last_Name,Region,sex&division,Gender
1,1,1,397,558,86,168,413,152,60,28,157.48,10557,/athletes/kristan-clever,Kristan,Clever,Southern California,F0,F
1,1,1,405,585,88,129,484,144,67,21,169,40597,/athletes/annie-thorisdottir,Annie,Thorisdottir,Europe,F0,F
1,1,3,394,516,86,134,423,129,60,29,168,8543,/athletes/samantha-briggs,Samantha,Briggs,Europe,F0,F
1,1,4,348,510,73,128,372,126,54,26,160.02,8563,/athletes/elyse-umeda,Elyse,Umeda,Northern California,F0,F
1,1,6,356,477,80,131,362,124,68,30,175.26,4001,/athletes/rebecca-voigt,Rebecca,Voigt,Southern California,F0,F
1,1,8,341,517,67,126,366,131,59,32,157.48,53869,/athletes/alicia-gomes,Alicia,Gomes,Northeast,F0,F
1,1,11,403,518,72,95,374,128,59,35,170.18,14418,/athletes/carey-kepler,Carey,Kepler,South Central,F0,F
1,1,16,360,517,71,97,339,117,59,29,165.1,28197,/athletes/whitney-welsch,Whitney,Welsch,South Central,F0,F
1,1,17,315,477,77,118,373,120,68,27,172.72,21446,/athletes/stacey-kroon,Stacey,Kroon,Northeast,F0,F
1,1,18,393,551,76,100,351,109,69,25,175.26,39095,/athletes/jasmine-dever,Jasmine,Dever,Southwest,F0,F
1,1,20,384,484,64,95,363,123,61,30,165.1,86394,/athletes/deborah-cordner,Deborah,Cordner,North Central,F0,F
1,1,21,322,484,66,98,372,122,66,29,170.18,38940,/athletes/jenny-labaw,Jenny,Labaw,Northern California,F0,F
1,1,22,360,489,57,114,365,116,55,25,162.56,13376,/athletes/cheryl-nasso,Cheryl,Nasso,Southeast,F0,F
1,1,23,354,487,61,99,360,116,64,40,167.64,3673,/athletes/jennifer-morris,Jennifer,Morris,Canada East,F0,F
1,0.9999999999,24,320,489,65,114,371,113,59,30,154.94,11461,/athletes/jennifer-butler,Jennifer,Butler,Mid Atlantic,F0,F
1,1,25,357,524,72,113,309,114,68,25,177.8,5860,/athletes/azadeh-boroumand,Azadeh,Boroumand,South Central,F0,F
1,1,26,332,468,70,96,346,118,57,33,170.18,106940,/athletes/michelle-crawford-0,Michelle,Crawford,Mid Atlantic,F0,F
1,1,27,306,501,64,135,356,138,57,29,162.56,7454,/athletes/laurie-galassi,Laurie,Galassi,Northern California,F0,F
1,1,28,317,474,62,100,349,122,66,35,167.64,48203,/athletes/angie-pye,Angie,Pye,Canada West,F0,F
1,1,29,352,441,72,95,346,119,66,29,175.26,39857,/athletes/mary-lampas,Mary,Lampas,Southwest,F0,F
1,1,31,343,507,64,96,319,126,59,24,154.94,10914,/athletes/ashley-van-boxtel,Ashley,Van,Northeast,F0,F
1,1,32,310,437,70,106,406,142,66,30,170.18,6507,/athletes/talayna-fortunato,Talayna,Fortunato,Southeast,F0,F
1,1,33,344,482,66,98,323,116,58,39,157.48,5847,/athletes/cheryl-brost,Cheryl,Brost,Northwest,F0,F
1,1,34,357,478,60,99,324,115,58,24,162.56,24414,/athletes/taylor-richards-lindsay,Taylor,Richards,Southwest,F0,F
1,1,35,318,453,66,101,345,112,68,31,167.64,8944,/athletes/leah-polaski,Leah,Polaski,Southeast,F0,F
1,1,37,360,510,57,123,306,129,57,29,158,26431,/athletes/amy-dracup,Amy,Dracup,Australia,F0,F
1,1,38,402,521,59,98,323,111,54,31,147.32,8878,/athletes/megan-john,Megan,John,North Central,F0,F
1,1,39,331,504,63,125,308,118,57,39,160.02,38026,/athletes/becky-conzelman,Becky,Conzelman,Mid Atlantic,F0,F
1,1,40,364,500,76,90,367,115,64,28,165.1,13949,/athletes/elma-ducic,Elma,Ducic,Canada East,F0,F
1,0.9999999998,41,302,522,68,111,336,120,61,28,160.02,7492,/athletes/ginny-king,Ginny,King,North Central,F0,F
1,1,42,351,453,52,121,360,119,57,30,157.48,10227,/athletes/jessica-hellyer-schulz,Jessica,Hellyer,North Central,F0,F
1,1,43,346,488,52,96,375,125,55,27,157.48,14034,/athletes/kelley-jackson,Kelley,Jackson,North Central,F0,F
1,1,44,349,473,56,95,336,118,59,29,162.56,52811,/athletes/amanda-butterfield,Amanda,Butterfield,Southwest,F0,F
1,1,45,359,438,71,92,330,126,68,29,157.48,63354,/athletes/megan-norris,Megan,Norris,South Central,F0,F
1,1,47,315,505,60,97,363,107,70,22,175.26,15579,/athletes/samantha-petersen,Samantha,Petersen,Northwest,F0,F
1,1,49,315,425,59,99,363,123,70,26,172.72,15455,/athletes/shanon-humphrey,Shanon,Humphrey,Southern California,F0,F
1,1,50,315,453,52,130,381,117,61,26,162.56,4639,/athletes/michelle-kinney,Michelle,Kinney,Central East,F0,F
1,1,53,307,497,55,111,336,122,63,24,160.02,11157,/athletes/jaime-gold,Jaime,Gold,Central East,F0,F
1,1,55,352,413,55,122,349,125,61,23,154.94,1745,/athletes/emily-bridgers,Emily,Bridgers,Southeast,F0,F
1,1,55,315,409,83,114,340,113,64,26,165.1,4987,/athletes/stacie-tovar,Stacie,Tovar,North Central,F0,F
1,1,57,346,449,60,92,342,118,59,31,167.64,19487,/athletes/kristen-smith,Kristen,Smith,North Central,F0,F
1,1,58,325,465,63,98,319,108,57,27,167.64,72329,/athletes/christina-merlo,Christina,Merlo,North Central,F0,F
1,1,59,355,428,60,96,350,108,68,19,175.26,57014,/athletes/rory-zambard,Rory,Zambard,Northwest,F0,F
1,1,60,360,521,52,102,336,105,52,23,152.4,47550,/athletes/jessica-nathe,Jessica,Nathe,Southwest,F0,F
1,1,63,316,408,58,117,334,137,61,26,160.02,17449,/athletes/mel-ockerby,Mel,Ockerby,Northeast,F0,F
1,0.9999999998,64,317,478,56,93,359,112,59,37,157.48,41400,/athletes/christine-watts,Christine,Watts,Central East,F0,F
1,1,65,336,472,65,96,309,106,67,36,172.72,2334,/athletes/wendy-shafranski,Wendy,Shafranski,Southeast,F0,F
0.9999999999,1,67,305,413,63,98,361,128,57,22,157.48,71089,/athletes/tina-carson,Tina,Carson,Southeast,F0,F
1,1,68,350,429,62,109,302,112,58,25,154.94,79935,/athletes/kelly-todd,Kelly,Todd,Central East,F0,F
0.9999999999,1,69,354,419,82,99,305,106,75,28,175.26,8636,/athletes/katie-hogan,Katie,Hogan,Southern California,F0,F
0.9999999999,1,71,334,415,64,95,315,113,60,37,157.48,24136,/athletes/ami-wight,Ami,Wight,Southeast,F0,F
0.9999999998,1,73,345,417,61,93,327,113,61,26,162.56,6804,/athletes/brooke-bergeson,Brooke,Bergeson,Northern California,F0,F
1,1,74,330,492,52,107,297,126,54,26,154.94,36853,/athletes/sarah-rodriguez,Sarah,Rodriguez,Southern California,F0,F
1,1,75,346,487,55,96,315,103,75,26,167.64,2746,/athletes/kelly-smith,Kelly,Smith,Northwest,F0,F
0.9999999999,1,76,337,414,52,95,350,119,65,25,170.18,6258,/athletes/chelsea-miller,Chelsea,Miller,Canada West,F0,F
0.9999999999,1,77,312,406,70,101,327,110,70,28,180.34,11860,/athletes/lindsey-smith,Lindsey,Smith,South Central,F0,F
1,0.9999999999,78,301,506,50,120,337,118,53,29,162.56,82851,/athletes/maddy-curley,Maddy,Curley,Southern California,F0,F
1,1,79,305,422,56,114,313,136,56,26,157.48,63012,/athletes/polly-albright,Polly,Albright,Northwest,F0,F
0.9999999998,1,80,310,413,60,99,335,108,60,35,160.02,3374,/athletes/tami-ough,Tami,Ough,Northwest,F0,F
0.9999999997,1,81,353,378,62,113,339,115,61,31,172.72,31867,/athletes/lauren-plumey,Lauren,Plumey,Northeast,F0,F
1,1,83,311,440,62,96,305,110,69,26,167,16671,/athletes/ruth-anderson-horrell,Ruth,Anderson,Australia,F0,F
1,0.9999999038,84,310,642,52,90,403,116,53,25,163,21782,/athletes/martina-barbaro,Martina,Barbaro,Europe,F0,F
1,1,85,315,447,56,112,310,104,68,39,172,13009,/athletes/megan-smith,Megan,Smith,Australia,F0,F
1,0.9999999999,86,309,504,52,90,392,122,63,31,170.18,12093,/athletes/amy-bright,Amy,Bright,Mid Atlantic,F0,F
1,1,87,347,477,54,109,290,111,54,28,152.4,2209,/athletes/gayle-shalloo,Gayle,Shalloo,Southwest,F0,F
0.9999999916,1,88,357,381,64,95,351,112,72,36,165.1,9619,/athletes/kendall-burnham,Kendall,Burnham,Northwest,F0,F
1,1,89,353,472,45,95,361,115,54,19,164,56554,/athletes/thuridur-erla-helgadottir,Thuridur,Erla,Europe,F0,F
1,1,90,353,473,54,94,302,111,64,23,157.48,3111,/athletes/anne-austad,Anne,Austad,Northwest,F0,F
0.9999999998,1,91,307,429,68,90,324,130,64,37,162.56,49754,/athletes/janet-black,Janet,Black,South Central,F0,F
1,1,92,271,438,60,120,351,120,59,25,154.94,12864,/athletes/gretchen-kittelberger,Gretchen,Kittelberger,Mid Atlantic,F0,F
1,1,93,302,412,57,113,332,120,60,28,173,25666,/athletes/tamaryn-venter,Tamaryn,Venter,Australia,F0,F
1,1,97,325,469,52,91,330,112,66,23,172,65112,/athletes/britney-holmberg,Britney,Holmberg,Canada East,F0,F
1,1,98,314,447,56,113,313,101,59,26,160.02,15493,/athletes/candice-ruiz,Candice,Ruiz,South Central,F0,F
0.9999999999,1,99,357,413,57,108,289,113,63,25,154.94,12981,/athletes/michele-letendre,Michele,Letendre,Canada East,F0,F
0.9999999999,1,100,332,452,54,94,337,100,77,27,180.34,7761,/athletes/jennifer-osborn,Jennifer,Osborn,Central East,F0,F
1,1,101,306,477,54,95,334,103,69,27,167.64,43952,/athletes/leah-cameron-williams,Leah,Cameron,Mid Atlantic,F0,F
0.9999999912,1,102,336,390,80,90,331,127,73,30,167.64,69159,/athletes/kristen-olson,Kristen,Olson,Southwest,F0,F
0.9999999943,1,103,351,383,57,96,340,108,61,27,170.18,6907,/athletes/andrea-roozen,Andrea,Roozen,Northwest,F0,F
0.9999999999,1,104,295,418,54,109,318,125,54,24,154.94,10843,/athletes/sarabeth-phillips,Sarabeth,Phillips,Southeast,F0,F
0.9999999998,1,106,307,442,61,90,317,112,59,34,162.56,35112,/athletes/jessica-dean,Jessica,Dean,Northeast,F0,F
1,1,107,310,440,48,106,309,117,56,27,160,17129,/athletes/eve-neville,Eve,Neville,Australia,F0,F
0.9999999971,1,108,315,397,70,96,315,103,68,29,170.18,13981,/athletes/lacie-hewlett,Lacie,Hewlett,North Central,F0,F
0.9999999993,1,109,310,402,56,99,311,114,52,29,157.48,10671,/athletes/beth-guse,Beth,Guse,Southwest,F0,F
0.9999999997,1,109,306,440,64,90,317,110,73,24,172.72,21735,/athletes/kyri-ann-harbrueger,Kyri,Ann,Southeast,F0,F
0.9999999991,1,109,309,410,66,95,300,114,73,25,162.56,23944,/athletes/nichole-dehart,Nichole,Dehart,Southern California,F0,F
0.9999999947,1,113,308,384,68,97,313,113,57,23,160.02,13415,/athletes/libby-dibiase,Libby,Dibiase,North Central,F0,F
0.9999999999,1,114,268,413,63,124,344,129,61,30,152.4,68772,/athletes/dionne-danielle,Dionne,Danielle,Mid Atlantic,F0,F
1,1,116,357,479,68,90,279,110,70,38,182.88,9036,/athletes/molly-tuman,Molly,Tuman,Mid Atlantic,F0,F
0.9999999966,1,117,315,414,57,90,332,111,57,30,157.48,23953,/athletes/kristin-king,Kristin,King,North Central,F0,F
0.9999999974,1,118,319,414,56,93,336,102,64,31,170.18,33031,/athletes/tayna-texidor,Tayna,Texidor,Northern California,F0,F
0.9999999864,1,119,301,382,60,98,357,119,61,26,162.56,25897,/athletes/kelsey-ericksen,Kelsey,Ericksen,Southeast,F0,F
0.9999999997,1,120,314,441,57,92,305,107,59,26,165.1,38628,/athletes/shannan-simpson,Shannan,Simpson,Southwest,F0,F
0.9999999974,1,121,321,396,67,96,300,111,67,33,172.72,28186,/athletes/lisa-thiel,Lisa,Thiel,South Central,F0,F
0.9999999974,1,124,310,383,66,105,305,112,61,23,170.18,16273,/athletes/sarah-pierce,Sarah,Pierce,Northern California,F0,F
0.9999999916,1,126,356,388,57,95,305,112,70,30,170.18,18184,/athletes/silke-von-saalfeld,Silke,Von,Southeast,F0,F
0.9999999784,1,127,333,388,74,98,310,101,70,24,167.64,4782,/athletes/lindsey-valenzuela,Lindsey,Valenzuela,Southern California,F0,F
0.9999999998,1,128,309,452,50,91,317,113,61,30,167.64,32041,/athletes/jessica-sharratt,Jessica,Sharratt,South Central,F0,F
0.999999997,1,129,308,410,54,97,320,105,64,27,162.56,38758,/athletes/jessica-pamanian,Jessica,Pamanian,Northeast,F0,F
0.9999999999,1,130,309,502,59,90,365,97,68,25,172.72,5531,/athletes/kaleena-ladeairous,Kaleena,Ladeairous,Northeast,F0,F
0.9999999986,1,134,311,413,44,97,342,134,51,32,157.48,10061,/athletes/nadia-shatila,Nadia,Shatila,Northwest,F0,F
0.9999999908,1,136,293,406,58,93,347,117,66,26,167.64,50529,/athletes/lauren-baer,Lauren,Baer,Southern California,F0,F
0.999999889,1,137,319,366,70,95,335,116,64,24,170.18,7990,/athletes/lauren-brooks,Lauren,Brooks,Southeast,F0,F
0.9999999364,1,141,328,360,64,104,327,123,66,29,165.1,22177,/athletes/candace-hamilton-hester,Candace,Hamilton,Northern California,F0,F
0.9999999999,1,142,343,491,45,90,332,111,61,32,167.64,8412,/athletes/nell-shuttleworth,Nell,Shuttleworth,North Central,F0,F
