Autoencoder_1,Autoencoder_2,overall-rank, score1, score2, score3, score4, score5, score6,Weight_kg,age,Height_cm,athlete_ID,nameURL,First_Name,Last_Name,Region,sex&division,Gender
1,1,2,410,600,78,178,430,169,73,27,165.1,16400,/athletes/joshua-bridges,Joshua,Bridges,Southern California,M0,M
1,1,5,396,575,80,154,402,149,76,23,165.1,12005,/athletes/austin-malleolo,Austin,Malleolo,Northeast,M0,M
1,1,6,393,580,78,153,414,140,84,25,177.8,6004,/athletes/daniel-tyminski,Daniel,Tyminski,Northeast,M0,M
1,1,7,382,552,90,153,408,146,91,33,180.34,107611,/athletes/neal-maddox,Neal,Maddox,Northern California,M0,M
1,1,8,388,565,78,150,418,143,83,34,177.8,14460,/athletes/todd-edmunds,Todd,Edmunds,Mid Atlantic,M0,M
1,1,9,415,566,74,141,425,135,97,31,179,11307,/athletes/rob-downton,Rob,Downton,Australia,M0,M
1,1,10,401,545,67,164,474,157,68,35,167.64,2900,/athletes/jarett-perelmutter,Jarett,Perelmutter,Southern California,M0,M
1,1,12,370,505,81,151,389,141,93,25,185.42,28134,/athletes/nathaniel-schrader,Nathaniel,Schrader,Mid Atlantic,M0,M
1,1,13,413,564,74,134,399,137,84,27,182.88,4497,/athletes/thomas-hooton,Thomas,Hooton,Mid Atlantic,M0,M
1,1,14,394,509,68,160,405,135,78,37,170.18,9584,/athletes/chad-augustin,Chad,Augustin,Northern California,M0,M
1,1,15,360,508,70,151,395,146,86,41,182.88,54660,/athletes/bill-grundler,Bill,Grundler,Southern California,M0,M
1,1,16,362,494,76,148,377,151,82,20,180.34,25016,/athletes/ben-smith,Ben,Smith,Mid Atlantic,M0,M
1,1,17,395,545,66,144,395,136,76,23,175.26,6997,/athletes/mike-mckenna,Mike,Mckenna,Northeast,M0,M
1,1,18,374,512,70,139,460,136,82,29,170.18,18084,/athletes/jonathan-bostic,Jonathan,Bostic,Mid Atlantic,M0,M
1,1,19,392,504,90,133,425,131,93,23,182.88,122743,/athletes/jon-alexander,Jon,Alexander,North Central,M0,M
1,1,20,358,498,76,147,376,142,77,25,177.8,8572,/athletes/storm-huie,Storm,Huie,Southern California,M0,M
1,1,21,394,489,65,161,401,140,66,31,165.1,3033,/athletes/chris-spealler,Chris,Spealler,Southwest,M0,M
1,1,22,391,545,72,150,442,125,86,30,177.8,14646,/athletes/alexandre-bureau,Alexandre,Bureau,Canada East,M0,M
1,1,23,394,546,72,136,366,133,86,24,182.88,71304,/athletes/jason-ingham,Jason,Ingham,Southeast,M0,M
1,1,24,395,538,65,149,371,136,84,29,175.26,35153,/athletes/gabe-subry,Gabe,Subry,Northern California,M0,M
1,1,25,360,504,78,136,369,140,92,25,176,59850,/athletes/tuomas-vainio,Tuomas,Vainio,Europe,M0,M
1,1,26,357,518,81,136,370,141,93,27,182.88,5569,/athletes/phillip-kniep,Phillip,Kniep,North Central,M0,M
1,1,27,399,546,63,155,385,135,80,24,177.8,27560,/athletes/nick-fory,Nick,Fory,Central East,M0,M
1,1,28,402,504,63,147,404,138,82,25,180.34,14595,/athletes/chase-daniels,Chase,Daniels,Southeast,M0,M
1,1,29,360,485,78,143,373,134,86,26,178,6058,/athletes/mikko-aronpC3A4C3A4,Mikko,AronpC3A4C3A4,Europe,M0,M
1,1,30,350,492,73,161,479,142,85,31,177.8,71966,/athletes/jc-nessa,Jc,Nessa,Southern California,M0,M
1,1,31,358,479,82,144,374,136,87,23,175,6693,/athletes/frederik-aegidius,Frederik,Aegidius,Europe,M0,M
1,1,32,384,509,67,144,359,141,79,24,170.18,15786,/athletes/ben-stoneberg,Ben,Stoneberg,Northwest,M0,M
1,1,33,401,540,60,154,395,168,76,24,175.26,20371,/athletes/drew-shamblin,Drew,Shamblin,Southeast,M0,M
1,1,34,375,508,78,135,367,130,93,25,187.96,12420,/athletes/dane-youtz,Dane,Youtz,Central East,M0,M
1,1,35,371,480,72,156,350,146,73,25,167.64,6265,/athletes/aj-moore,Aj,Moore,Mid Atlantic,M0,M
1,1,37,353,531,66,152,372,141,82,26,180.34,32475,/athletes/graham-holmberg,Graham,Holmberg,Central East,M0,M
1,1,39,381,512,72,125,373,139,84,27,175.26,20828,/athletes/john-zvejnieks,John,Zvejnieks,Mid Atlantic,M0,M
1,1,40,360,515,67,136,363,133,89,25,177.8,58662,/athletes/adrian-conway,Adrian,Conway,Southwest,M0,M
1,1,42,354,527,68,139,353,143,78,29,172.72,10898,/athletes/jud-dean,Jud,Dean,Mid Atlantic,M0,M
1,1,43,360,489,70,141,342,140,77,25,170.18,6854,/athletes/patrick-barber,Patrick,Barber,Australia,M0,M
1,1,45,360,490,75,135,365,126,93,28,180.34,7533,/athletes/david-ulmer,David,Ulmer,Central East,M0,M
1,1,46,352,520,65,150,361,138,89,31,185.42,92386,/athletes/tyler-galloway,Tyler,Galloway,Northwest,M0,M
1,1,47,373,488,70,137,362,126,85,25,180,15651,/athletes/chris-hogan,Chris,Hogan,Australia,M0,M
1,1,48,353,459,68,160,382,141,83,30,170.18,28530,/athletes/guido-trinidad,Guido,Trinidad,Southeast,M0,M
1,1,49,352,460,67,146,426,146,84,21,175.26,18161,/athletes/ken-crowder,Ken,Crowder,Mid Atlantic,M0,M
1,1,50,358,507,70,150,351,126,91,25,185.42,17821,/athletes/drew-bignall,Drew,Bignall,South Central,M0,M
1,1,52,390,502,63,139,361,130,79,28,177.8,3558,/athletes/macy-mitchell,Macy,Mitchell,North Central,M0,M
1,1,53,360,487,61,141,386,138,75,32,167.64,59502,/athletes/jason-cain,Jason,Cain,Canada East,M0,M
1,1,54,372,527,64,130,397,128,84,27,177.8,15339,/athletes/jason-hoggan,Jason,Hoggan,Mid Atlantic,M0,M
1,1,56,360,516,58,156,516,136,83,29,185.42,77937,/athletes/preston-austin,Preston,Austin,Mid Atlantic,M0,M
1,1,57,378,436,69,154,401,142,83,28,177.8,25274,/athletes/joey-warren,Joey,Warren,Northern California,M0,M
1,1,58,359,479,63,149,365,135,77,24,175.26,1594,/athletes/jared-glover,Jared,Glover,Southwest,M0,M
1,1,59,392,456,73,129,360,134,85,28,180.34,10542,/athletes/gil-hollingsworth,Gil,Hollingsworth,Southwest,M0,M
1,1,60,445,468,76,129,374,124,91,26,185.42,18631,/athletes/david-stowe,David,Stowe,Central East,M0,M
1,1,62,352,460,65,153,367,142,67,23,161,58021,/athletes/irving-hernandez,Irving,Hernandez,Southeast,M0,M
1,1,63,369,447,78,135,341,142,84,37,180.34,47173,/athletes/braden-lutz,Braden,Lutz,Central East,M0,M
1,1,64,387,480,64,136,345,130,83,29,172.72,4629,/athletes/david-cornthwaite,David,Cornthwaite,North Central,M0,M
1,1,65,439,562,67,131,336,126,84,24,177.8,9435,/athletes/adam-jamieson,Adam,Jamieson,Northern California,M0,M
1,1,66,360,463,66,131,370,132,85,29,182.88,3116,/athletes/noah-pester,Noah,Pester,Northwest,M0,M
1,1,67,350,508,74,133,388,123,87,28,182.88,91378,/athletes/denver-mcphail,Denver,Mcphail,North Central,M0,M
1,1,69,390,457,66,130,367,131,86,24,177.8,67354,/athletes/zeph-littleton,Zeph,Littleton,South Central,M0,M
